,precision,recall,f1-score,support
I-LOCATION,0.5434782608695652,0.3246753246753247,0.4065040650406504,77.0
B-TIME,0.5806451612903226,0.4090909090909091,0.4800000000000001,44.0
U-PERSON,0.8734693877551021,0.8199233716475096,0.8458498023715415,261.0
I-ORGANIZATION,0.6804123711340206,0.4748201438848921,0.5593220338983051,139.0
U-ORGANIZATION,0.7923728813559322,0.7450199203187251,0.7679671457905544,251.0
I-TIME,0.6477272727272727,0.4351145038167939,0.5205479452054794,131.0
B-PERSON,0.8603351955307262,0.6724890829694323,0.7549019607843136,229.0
B-ORGANIZATION,0.6911764705882353,0.6064516129032258,0.6460481099656357,155.0
L-QUANTITY,0.4745762711864407,0.5185185185185185,0.49557522123893805,54.0
L-PERSON,0.847953216374269,0.6304347826086957,0.7231920199501247,230.0
L-TIME,0.7272727272727273,0.35555555555555557,0.4776119402985074,45.0
B-LOCATION,0.6875,0.6346153846153846,0.6599999999999999,104.0
U-TIME,0.5294117647058824,0.375,0.4390243902439025,24.0
U-QUANTITY,0.0,0.0,0.0,1.0
U-LOCATION,0.7614678899082569,0.6974789915966386,0.7280701754385966,238.0
I-QUANTITY,0.625,0.38461538461538464,0.4761904761904762,52.0
B-QUANTITY,0.39622641509433965,0.3559322033898305,0.375,59.0
L-ORGANIZATION,0.6793893129770993,0.5668789808917197,0.6180555555555556,157.0
I-PERSON,0.6379310344827587,0.5967741935483871,0.6166666666666667,62.0
L-LOCATION,0.6836734693877551,0.6568627450980392,0.67,102.0
O,0.9448375683499518,0.9764001994349344,0.9603596240294238,12034.0
accuracy,0.9155650910097585,0.9155650910097585,0.9155650910097585,0.9155650910097585
macro avg,0.6507074605233646,0.5350786575799953,0.5819470063175558,14449.0
weighted avg,0.9093126229563337,0.9155650910097585,0.9107483314745134,14449.0
