,precision,recall,f1-score,support
I-LOCATION,0.5142857142857142,0.23376623376623376,0.3214285714285714,77.0
L-LOCATION,0.717391304347826,0.6470588235294118,0.6804123711340206,102.0
L-TIME,0.6896551724137931,0.4444444444444444,0.5405405405405405,45.0
U-ORGANIZATION,0.8768472906403941,0.7091633466135459,0.7841409691629957,251.0
I-QUANTITY,0.47368421052631576,0.34615384615384615,0.39999999999999997,52.0
B-PERSON,0.8369565217391305,0.6724890829694323,0.7457627118644069,229.0
I-TIME,0.7419354838709677,0.5267175572519084,0.6160714285714285,131.0
I-ORGANIZATION,0.7375,0.4244604316546763,0.5388127853881278,139.0
B-TIME,0.6129032258064516,0.4318181818181818,0.5066666666666667,44.0
U-PERSON,0.8588709677419355,0.8160919540229885,0.8369351669941061,261.0
B-ORGANIZATION,0.706766917293233,0.6064516129032258,0.6527777777777778,155.0
L-QUANTITY,0.48214285714285715,0.5,0.4909090909090909,54.0
U-TIME,0.625,0.4166666666666667,0.5,24.0
B-QUANTITY,0.4878048780487805,0.3389830508474576,0.39999999999999997,59.0
L-ORGANIZATION,0.7007299270072993,0.6114649681528662,0.653061224489796,157.0
I-PERSON,0.7209302325581395,0.5,0.5904761904761905,62.0
L-PERSON,0.838150289017341,0.6304347826086957,0.7196029776674937,230.0
U-LOCATION,0.7663551401869159,0.6890756302521008,0.7256637168141592,238.0
U-QUANTITY,0.0,0.0,0.0,1.0
B-LOCATION,0.75,0.5769230769230769,0.6521739130434783,104.0
O,0.940429609518486,0.9786438424464019,0.9591562487274504,12034.0
accuracy,0.916187971485916,0.916187971485916,0.916187971485916,0.916187971485916
macro avg,0.6703971305783609,0.5286098825250076,0.586409159602681,14449.0
weighted avg,0.909087491113255,0.916187971485916,0.9103860469800318,14449.0
