,precision,recall,f1-score,support
U-TIME,0.75,0.5,0.6,24.0
I-PERSON,0.4666666666666667,0.7903225806451613,0.5868263473053893,62.0
B-PERSON,0.8410041841004184,0.8777292576419214,0.858974358974359,229.0
L-LOCATION,0.7474747474747475,0.7254901960784313,0.736318407960199,102.0
U-ORGANIZATION,0.748,0.7450199203187251,0.7465069860279441,251.0
I-ORGANIZATION,0.7840909090909091,0.49640287769784175,0.6079295154185022,139.0
L-TIME,0.6410256410256411,0.5555555555555556,0.5952380952380952,45.0
U-PERSON,0.8716981132075472,0.8850574712643678,0.8783269961977187,261.0
B-TIME,0.6136363636363636,0.6136363636363636,0.6136363636363636,44.0
I-TIME,0.7711864406779662,0.6946564885496184,0.7309236947791165,131.0
L-QUANTITY,0.625,0.46296296296296297,0.5319148936170213,54.0
B-QUANTITY,0.6,0.4576271186440678,0.5192307692307693,59.0
B-ORGANIZATION,0.675,0.6967741935483871,0.6857142857142857,155.0
U-QUANTITY,0.0,0.0,0.0,1.0
I-LOCATION,0.5512820512820513,0.5584415584415584,0.5548387096774194,77.0
U-LOCATION,0.8099547511312217,0.7521008403361344,0.7799564270152506,238.0
L-ORGANIZATION,0.7074829931972789,0.6624203821656051,0.6842105263157895,157.0
L-PERSON,0.8771929824561403,0.8695652173913043,0.8733624454148472,230.0
I-QUANTITY,0.7272727272727273,0.46153846153846156,0.5647058823529413,52.0
B-LOCATION,0.7,0.6730769230769231,0.6862745098039216,104.0
O,0.9643151475193671,0.9723284028585674,0.9683051969546508,12034.0
accuracy,0.9306526403211295,0.9306526403211295,0.9306526403211295,0.9306526403211295
macro avg,0.6891563675590022,0.6405098463024742,0.6572949719825991,14449.0
weighted avg,0.9297457241955571,0.9306526403211295,0.9293972395409532,14449.0
