round_epochs,loss,f1_score,val_loss,val_f1_score,batch_size,dropout,filter_size,filters,lr,optimizer,units
66,0.04353307097036148,0.986309,0.0844830810028948,0.97708154,64,0.1,2,32,0.001,Adam,50
54,0.04046118130611482,0.9871657,0.08088931067762972,0.9773441,64,0.1,2,64,0.001,Adam,50
45,0.036346234764172654,0.98855644,0.0820913707040636,0.977886,64,0.1,2,128,0.001,Adam,50
42,0.030293285098170565,0.9903691,0.08315417089319359,0.9776594,64,0.1,2,256,0.001,Adam,50
59,0.04475043769751754,0.986216,0.08725665558423917,0.9765281,64,0.1,3,32,0.001,Adam,50
51,0.0387175717678304,0.9880794,0.08365384231471236,0.97755814,64,0.1,3,64,0.001,Adam,50
38,0.03805551610051471,0.9878582,0.08158479771026149,0.97691894,64,0.1,3,128,0.001,Adam,50
34,0.03215840552872586,0.9900288,0.08803114179288334,0.9772593,64,0.1,3,256,0.001,Adam,50
58,0.046965381948747366,0.98537546,0.09553182638714684,0.9750592,64,0.1,4,32,0.001,Adam,50
53,0.03736917723283589,0.98812234,0.08634734657220035,0.9768501,64,0.1,4,64,0.001,Adam,50
38,0.035998078985749006,0.98879206,0.08755242250027384,0.97626394,64,0.1,4,128,0.001,Adam,50
38,0.026523864854161985,0.99183685,0.09030084196244663,0.97587687,64,0.1,4,256,0.001,Adam,50
