,precision,recall,f1-score,support
U-ORGANIZATION,0.6826086956521739,0.6254980079681275,0.6528066528066527,251.0
U-QUANTITY,0.0,0.0,0.0,1.0
L-ORGANIZATION,0.6538461538461539,0.6496815286624203,0.6517571884984026,157.0
L-PERSON,0.811965811965812,0.8260869565217391,0.8189655172413793,230.0
L-QUANTITY,0.3333333333333333,0.35185185185185186,0.34234234234234234,54.0
B-TIME,0.6666666666666666,0.5,0.5714285714285715,44.0
L-LOCATION,0.628099173553719,0.7450980392156863,0.6816143497757847,102.0
U-TIME,0.3076923076923077,0.16666666666666666,0.21621621621621623,24.0
B-PERSON,0.8,0.8384279475982532,0.8187633262260128,229.0
B-QUANTITY,0.36065573770491804,0.3728813559322034,0.3666666666666667,59.0
B-ORGANIZATION,0.6644736842105263,0.6516129032258065,0.6579804560260586,155.0
I-LOCATION,0.5964912280701754,0.44155844155844154,0.5074626865671641,77.0
L-TIME,0.6551724137931034,0.4222222222222222,0.5135135135135135,45.0
U-PERSON,0.8249027237354085,0.8122605363984674,0.8185328185328185,261.0
U-LOCATION,0.7272727272727273,0.7394957983193278,0.7333333333333334,238.0
B-LOCATION,0.6551724137931034,0.7307692307692307,0.6909090909090909,104.0
I-PERSON,0.4939759036144578,0.6612903225806451,0.5655172413793104,62.0
I-ORGANIZATION,0.7090909090909091,0.5611510791366906,0.6265060240963856,139.0
I-QUANTITY,0.6538461538461539,0.3269230769230769,0.4358974358974359,52.0
I-TIME,0.8411214953271028,0.6870229007633588,0.7563025210084034,131.0
O,0.959340206185567,0.9665946484959282,0.9629537646425763,12034.0
accuracy,0.9177105682054122,0.9177105682054122,0.9177105682054122,0.9177105682054122
macro avg,0.6202727494930629,0.5750996911814354,0.58997474843372,14449.0
weighted avg,0.9161198057462421,0.9177105682054122,0.916207675685113,14449.0
